model,fold,fit_time_seconds,score_time_seconds,accuracy,precision,recall,f1,roc_auc,average_precision
Dummy Stratified,1,0.0215,0.0207,0.530612,0.566667,0.62963,0.596491,0.51936,0.560872
Dummy Stratified,2,0.0127,0.0204,0.5,0.533333,0.615385,0.571429,0.48951,0.536538
Dummy Stratified,3,0.0138,0.0198,0.5,0.533333,0.615385,0.571429,0.48951,0.536538
Dummy Stratified,4,0.0136,0.022,0.5,0.533333,0.615385,0.571429,0.48951,0.536538
Dummy Stratified,5,0.013,0.0198,0.5,0.533333,0.615385,0.571429,0.48951,0.536538
Logistic Regression,1,0.0152,0.0198,0.877551,0.862069,0.925926,0.892857,0.949495,0.961977
Logistic Regression,2,0.0144,0.0188,0.708333,0.7,0.807692,0.75,0.854895,0.890409
Logistic Regression,3,0.0145,0.0211,0.895833,0.92,0.884615,0.901961,0.93007,0.915485
Logistic Regression,4,0.0208,0.0257,0.875,0.884615,0.884615,0.884615,0.928322,0.940453
Logistic Regression,5,0.0173,0.0198,0.854167,0.88,0.846154,0.862745,0.945804,0.963179
K-Nearest Neighbors,1,0.014,0.104,0.816327,0.78125,0.925926,0.847458,0.872054,0.835446
K-Nearest Neighbors,2,0.0216,0.0355,0.770833,0.758621,0.846154,0.8,0.828671,0.812905
K-Nearest Neighbors,3,0.0162,0.0327,0.875,0.857143,0.923077,0.888889,0.909965,0.87486
K-Nearest Neighbors,4,0.0177,0.0352,0.8125,0.869565,0.769231,0.816327,0.905594,0.879967
K-Nearest Neighbors,5,0.018,0.0354,0.833333,0.846154,0.846154,0.846154,0.91521,0.917402
Support Vector Machine,1,0.022,0.0247,0.836735,0.806452,0.925926,0.862069,0.922559,0.936113
Support Vector Machine,2,0.0218,0.0267,0.770833,0.758621,0.846154,0.8,0.828671,0.826227
Support Vector Machine,3,0.0216,0.0253,0.854167,0.851852,0.884615,0.867925,0.914336,0.892509
Support Vector Machine,4,0.021,0.0227,0.875,0.884615,0.884615,0.884615,0.931818,0.939655
Support Vector Machine,5,0.0223,0.0241,0.833333,0.821429,0.884615,0.851852,0.945804,0.95895
Decision Tree,1,0.0155,0.022,0.755102,0.8,0.740741,0.769231,0.756734,0.73545
Decision Tree,2,0.0158,0.0224,0.75,0.769231,0.769231,0.769231,0.748252,0.716716
Decision Tree,3,0.0159,0.0213,0.6875,0.689655,0.769231,0.727273,0.68007,0.655504
Decision Tree,4,0.0195,0.0275,0.770833,0.758621,0.846154,0.8,0.763986,0.725243
Decision Tree,5,0.0189,0.0263,0.854167,0.851852,0.884615,0.867925,0.851399,0.816061
Random Forest,1,0.5198,0.0681,0.877551,0.862069,0.925926,0.892857,0.928451,0.941887
Random Forest,2,0.488,0.0678,0.729167,0.709677,0.846154,0.77193,0.829545,0.868946
Random Forest,3,0.4896,0.0667,0.854167,0.851852,0.884615,0.867925,0.928322,0.92293
Random Forest,4,0.4859,0.0612,0.833333,0.875,0.807692,0.84,0.928322,0.931623
Random Forest,5,0.4926,0.0656,0.791667,0.807692,0.807692,0.807692,0.914336,0.929595
Gaussian Naive Bayes,1,0.0171,0.0242,0.714286,0.685714,0.888889,0.774194,0.868687,0.930223
Gaussian Naive Bayes,2,0.0168,0.0251,0.729167,0.724138,0.807692,0.763636,0.793706,0.840484
Gaussian Naive Bayes,3,0.0137,0.0246,0.916667,0.892857,0.961538,0.925926,0.91958,0.890343
Gaussian Naive Bayes,4,0.0173,0.0257,0.875,0.884615,0.884615,0.884615,0.905594,0.90945
Gaussian Naive Bayes,5,0.0169,0.0265,0.833333,0.875,0.807692,0.84,0.907343,0.934879
Gradient Boosting,1,0.1586,0.0257,0.816327,0.821429,0.851852,0.836364,0.90404,0.927871
Gradient Boosting,2,0.1654,0.0308,0.708333,0.676471,0.884615,0.766667,0.823427,0.872752
Gradient Boosting,3,0.1363,0.0282,0.8125,0.84,0.807692,0.823529,0.902098,0.921622
Gradient Boosting,4,0.1456,0.0269,0.8125,0.84,0.807692,0.823529,0.903846,0.919495
Gradient Boosting,5,0.1578,0.0236,0.833333,0.821429,0.884615,0.851852,0.874126,0.888668
XGBoost,1,1.9306,0.0297,0.816327,0.8,0.888889,0.842105,0.914141,0.936047
XGBoost,2,0.0686,0.027,0.791667,0.766667,0.884615,0.821429,0.847902,0.887229
XGBoost,3,0.0603,0.0307,0.875,0.857143,0.923077,0.888889,0.917832,0.911146
XGBoost,4,0.0605,0.0248,0.854167,0.88,0.846154,0.862745,0.921329,0.927925
XGBoost,5,0.0527,0.0268,0.833333,0.821429,0.884615,0.851852,0.923077,0.937436
