model,operating_point,threshold,accuracy,precision,recall,specificity,f1,roc_auc,average_precision,true_negative,false_positive,false_negative,true_positive
XGBoost,default_0.50,0.5,0.834025,0.822695,0.885496,0.772727,0.852941,0.901388,0.91253,85,25,15,116
Support Vector Machine,default_0.50,0.5,0.834025,0.827338,0.877863,0.781818,0.851852,0.899931,0.894299,86,24,16,115
Logistic Regression,default_0.50,0.5,0.842324,0.844444,0.870229,0.809091,0.857143,0.912422,0.918929,89,21,17,114
Gaussian Naive Bayes,default_0.50,0.5,0.813278,0.802817,0.870229,0.745455,0.835165,0.857946,0.880244,82,28,17,114
Random Forest,default_0.50,0.5,0.817427,0.81295,0.862595,0.763636,0.837037,0.899549,0.906791,84,26,18,113
K-Nearest Neighbors,default_0.50,0.5,0.821577,0.818841,0.862595,0.772727,0.840149,0.881541,0.856275,85,25,18,113
Gradient Boosting,default_0.50,0.5,0.79668,0.792857,0.847328,0.736364,0.819188,0.867939,0.885001,81,29,20,111
Decision Tree,default_0.50,0.5,0.763485,0.772059,0.801527,0.718182,0.786517,0.759854,0.72671,79,31,26,105
Dummy Stratified,default_0.50,0.5,0.506224,0.54,0.618321,0.372727,0.576512,0.495524,0.541362,41,69,50,81
Support Vector Machine,max_f1,0.4,0.838174,0.802632,0.931298,0.727273,0.862191,0.899931,0.894299,80,30,9,122
Support Vector Machine,recall_at_least_0.90,0.4,0.838174,0.802632,0.931298,0.727273,0.862191,0.899931,0.894299,80,30,9,122
XGBoost,max_f1,0.53,0.842324,0.834532,0.885496,0.790909,0.859259,0.901388,0.91253,87,23,15,116
XGBoost,recall_at_least_0.90,0.25,0.821577,0.782051,0.931298,0.690909,0.850174,0.901388,0.91253,76,34,9,122
