model,threshold,accuracy,precision,recall,specificity,f1,roc_auc,average_precision,true_negative,false_positive,false_negative,true_positive
Support Vector Machine,0.05,0.605809,0.580357,0.992366,0.145455,0.732394,0.899931,0.894299,16,94,1,130
Support Vector Machine,0.06,0.622407,0.590909,0.992366,0.181818,0.740741,0.899931,0.894299,20,90,1,130
Support Vector Machine,0.07,0.643154,0.605634,0.984733,0.236364,0.75,0.899931,0.894299,26,84,2,129
Support Vector Machine,0.08,0.66805,0.623188,0.984733,0.290909,0.763314,0.899931,0.894299,32,78,2,129
Support Vector Machine,0.09,0.676349,0.629268,0.984733,0.309091,0.767857,0.899931,0.894299,34,76,2,129
Support Vector Machine,0.1,0.680498,0.632353,0.984733,0.318182,0.770149,0.899931,0.894299,35,75,2,129
Support Vector Machine,0.11,0.692946,0.641791,0.984733,0.345455,0.777108,0.899931,0.894299,38,72,2,129
Support Vector Machine,0.12,0.697095,0.645,0.984733,0.354545,0.779456,0.899931,0.894299,39,71,2,129
Support Vector Machine,0.13,0.726141,0.668394,0.984733,0.418182,0.796296,0.899931,0.894299,46,64,2,129
Support Vector Machine,0.14,0.73444,0.675393,0.984733,0.436364,0.801242,0.899931,0.894299,48,62,2,129
Support Vector Machine,0.15,0.738589,0.680851,0.977099,0.454545,0.802508,0.899931,0.894299,50,60,3,128
Support Vector Machine,0.16,0.746888,0.688172,0.977099,0.472727,0.807571,0.899931,0.894299,52,58,3,128
Support Vector Machine,0.17,0.755187,0.695652,0.977099,0.490909,0.812698,0.899931,0.894299,54,56,3,128
Support Vector Machine,0.18,0.759336,0.699454,0.977099,0.5,0.815287,0.899931,0.894299,55,55,3,128
Support Vector Machine,0.19,0.767635,0.707182,0.977099,0.518182,0.820513,0.899931,0.894299,57,53,3,128
Support Vector Machine,0.2,0.767635,0.707182,0.977099,0.518182,0.820513,0.899931,0.894299,57,53,3,128
Support Vector Machine,0.21,0.775934,0.715084,0.977099,0.536364,0.825806,0.899931,0.894299,59,51,3,128
Support Vector Machine,0.22,0.784232,0.723164,0.977099,0.554545,0.831169,0.899931,0.894299,61,49,3,128
Support Vector Machine,0.23,0.788382,0.727273,0.977099,0.563636,0.833876,0.899931,0.894299,62,48,3,128
Support Vector Machine,0.24,0.79668,0.735632,0.977099,0.581818,0.839344,0.899931,0.894299,64,46,3,128
Support Vector Machine,0.25,0.809129,0.748538,0.977099,0.609091,0.847682,0.899931,0.894299,67,43,3,128
Support Vector Machine,0.26,0.809129,0.751479,0.969466,0.618182,0.846667,0.899931,0.894299,68,42,4,127
Support Vector Machine,0.27,0.809129,0.751479,0.969466,0.618182,0.846667,0.899931,0.894299,68,42,4,127
Support Vector Machine,0.28,0.80083,0.748503,0.954198,0.618182,0.838926,0.899931,0.894299,68,42,6,125
Support Vector Machine,0.29,0.813278,0.762195,0.954198,0.645455,0.847458,0.899931,0.894299,71,39,6,125
Support Vector Machine,0.3,0.821577,0.771605,0.954198,0.663636,0.853242,0.899931,0.894299,73,37,6,125
Support Vector Machine,0.31,0.821577,0.775,0.946565,0.672727,0.852234,0.899931,0.894299,74,36,7,124
Support Vector Machine,0.32,0.821577,0.775,0.946565,0.672727,0.852234,0.899931,0.894299,74,36,7,124
Support Vector Machine,0.33,0.825726,0.779874,0.946565,0.681818,0.855172,0.899931,0.894299,75,35,7,124
Support Vector Machine,0.34,0.834025,0.789809,0.946565,0.7,0.861111,0.899931,0.894299,77,33,7,124
Support Vector Machine,0.35,0.829876,0.788462,0.938931,0.7,0.857143,0.899931,0.894299,77,33,8,123
