model,feature,importance_mean,importance_std
Support Vector Machine,thal,0.043608605135322664,0.012968475649706464
Support Vector Machine,cp,0.038695350451075645,0.0077865687883061484
Support Vector Machine,ca,0.031061762664816105,0.00967064605344554
Support Vector Machine,oldpeak,0.012838306731436494,0.004692952047218859
Support Vector Machine,chol,0.009222761970853543,0.004056678427396883
Support Vector Machine,sex,0.006936155447605841,0.0031089579254183933
Support Vector Machine,exang,0.0069257460097154385,0.0034009545099547523
Support Vector Machine,slope,0.004805690492713388,0.0027996786928073236
Support Vector Machine,thalach,0.003553088133240806,0.002035286915178182
Support Vector Machine,restecg,0.0028834142956280172,0.001987990682579944
Support Vector Machine,trestbps,0.0004961832061068705,0.0005295416096362458
Support Vector Machine,fbs,5.898681471199208e-05,0.0003394569319001505
Support Vector Machine,age,-0.00011797362942404521,0.0008054450878830872
