model,transformed_feature,feature,coefficient,abs_coefficient,direction
Support Vector Machine,nominal__cp_0.0,cp_0.0,-0.6570696054202221,0.6570696054202221,decreases positive-class score
Support Vector Machine,nominal__thal_2.0,thal_2.0,0.5605265160637415,0.5605265160637415,increases positive-class score
Support Vector Machine,ordinal__ca,ca,-0.497653680972459,0.497653680972459,decreases positive-class score
Support Vector Machine,nominal__thal_3.0,thal_3.0,-0.4605265160637415,0.4605265160637415,decreases positive-class score
Support Vector Machine,binary__exang,exang,-0.40642545259401663,0.40642545259401663,decreases positive-class score
Support Vector Machine,binary__sex,sex,-0.3622938733106327,0.3622938733106327,decreases positive-class score
Support Vector Machine,numeric__oldpeak,oldpeak,-0.32722850242972235,0.32722850242972235,decreases positive-class score
Support Vector Machine,nominal__cp_2.0,cp_2.0,0.3061936396797418,0.3061936396797418,increases positive-class score
Support Vector Machine,nominal__cp_3.0,cp_3.0,0.29459713945524113,0.29459713945524113,increases positive-class score
Support Vector Machine,nominal__slope_1.0,slope_1.0,-0.19500973112002856,0.19500973112002856,decreases positive-class score
Support Vector Machine,numeric__chol,chol,-0.18890626727011786,0.18890626727011786,decreases positive-class score
Support Vector Machine,nominal__slope_2.0,slope_2.0,0.17226950907362848,0.17226950907362848,increases positive-class score
Support Vector Machine,numeric__thalach,thalach,0.12707215720398443,0.12707215720398443,increases positive-class score
Support Vector Machine,nominal__restecg_1.0,restecg_1.0,0.10303631139420916,0.10303631139420916,increases positive-class score
Support Vector Machine,nominal__thal_1.0,thal_1.0,-0.10000000000000003,0.10000000000000003,decreases positive-class score
Support Vector Machine,numeric__age,age,0.06339671962806423,0.06339671962806423,increases positive-class score
Support Vector Machine,nominal__restecg_0.0,restecg_0.0,-0.06273244169456843,0.06273244169456843,decreases positive-class score
Support Vector Machine,nominal__cp_1.0,cp_1.0,0.05627882628523931,0.05627882628523931,increases positive-class score
Support Vector Machine,binary__fbs,fbs,0.05310020888908354,0.05310020888908354,increases positive-class score
Support Vector Machine,nominal__restecg_2.0,restecg_2.0,-0.04030386969964064,0.04030386969964064,decreases positive-class score
Support Vector Machine,numeric__trestbps,trestbps,-0.027400066759715347,0.027400066759715347,decreases positive-class score
Support Vector Machine,nominal__slope_0.0,slope_0.0,0.022740222046399666,0.022740222046399666,increases positive-class score
