model,rank_test_roc_auc,params,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,mean_test_average_precision,std_test_average_precision
Logistic Regression,1,"{""clf__C"": 0.1, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",0.8588435374149659,0.04841938583284214,0.8598781805678357,0.047782230899072346,0.8851851851851851,0.04266470945422043,0.8721853618080033,0.043697163083470665,0.9245014245014245,0.03862850156873513,0.9333046562463752,0.03649319225608719
Logistic Regression,2,"{""clf__C"": 1, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",0.8421768707482993,0.06821371118636918,0.8493368700265252,0.07699569607961056,0.8698005698005697,0.040014039629924066,0.8584356819650937,0.055752159644975624,0.9217171717171716,0.034439414517676674,0.934300756413869,0.02799363024008846
Logistic Regression,3,"{""clf__C"": 10, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",0.8380102040816327,0.0679899983253084,0.8425676392572944,0.07547513199602517,0.8698005698005697,0.040014039629924066,0.8551174315880198,0.05589049117974189,0.9151515151515153,0.035831532153762356,0.9295178628813299,0.0289152370985508
Logistic Regression,4,"{""clf__C"": 0.01, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}",0.8381802721088436,0.020318681379326402,0.8345774914740431,0.030264405347890672,0.8777777777777777,0.015898354904049793,0.8552255152255152,0.01622891173977137,0.9117327117327119,0.038079102953190884,0.9229695024209272,0.035568043544670296
Support Vector Machine,1,"{""clf__C"": 0.1, ""clf__gamma"": ""scale"", ""clf__kernel"": ""linear""}",0.859013605442177,0.0546687370300379,0.8465512940485131,0.058653497767944186,0.9082621082621083,0.03946254622352127,0.8757938930873218,0.046373399628059024,0.9210308210308209,0.03755545284626009,0.9288123355677792,0.03411479482126968
Support Vector Machine,1,"{""clf__C"": 0.1, ""clf__gamma"": 0.1, ""clf__kernel"": ""linear""}",0.859013605442177,0.0546687370300379,0.8465512940485131,0.058653497767944186,0.9082621082621083,0.03946254622352127,0.8757938930873218,0.046373399628059024,0.9210308210308209,0.03755545284626009,0.9288123355677792,0.03411479482126968
Support Vector Machine,3,"{""clf__C"": 1, ""clf__gamma"": ""scale"", ""clf__kernel"": ""linear""}",0.8422619047619048,0.05847286519163246,0.8379345711759505,0.06632008487912627,0.8851851851851851,0.04266470945422043,0.8600265575497774,0.04921413127040589,0.9141025641025642,0.03870201013842408,0.9251507381382702,0.03321949091742716
Support Vector Machine,3,"{""clf__C"": 1, ""clf__gamma"": 0.1, ""clf__kernel"": ""linear""}",0.8422619047619048,0.05847286519163246,0.8379345711759505,0.06632008487912627,0.8851851851851851,0.04266470945422043,0.8600265575497774,0.04921413127040589,0.9141025641025642,0.03870201013842408,0.9251507381382702,0.03321949091742716
Support Vector Machine,5,"{""clf__C"": 10, ""clf__gamma"": ""scale"", ""clf__kernel"": ""linear""}",0.8505952380952382,0.0651343892435595,0.839404656646036,0.06769444905574387,0.9005698005698006,0.04645185349786626,0.8684587838510381,0.055586591358372725,0.9123931623931624,0.04216007934400503,0.9257123173539415,0.03740615737138641
Support Vector Machine,5,"{""clf__C"": 10, ""clf__gamma"": 0.1, ""clf__kernel"": ""linear""}",0.8505952380952382,0.0651343892435595,0.839404656646036,0.06769444905574387,0.9005698005698006,0.04645185349786626,0.8684587838510381,0.055586591358372725,0.9123931623931624,0.04216007934400503,0.9257123173539415,0.03740615737138641
